App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-spring-ide;JdtBasedGroovyAnnotationMetadataTest;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core.groovy.tests\src\org\springframework\ide\core\classreading\tests\JdtBasedGroovyAnnotationMetadataTest.java;;365;21;56;0;0;0;0;0;0;29;0;0;2;0;0;2;0;0;1;0;0;0;0
test-smells-spring-ide;JdtGroovyAnnotationMetadataTest;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core.groovy.tests\src\org\springframework\ide\core\classreading\tests\JdtGroovyAnnotationMetadataTest.java;;538;23;176;0;0;0;0;0;0;73;0;0;3;0;0;6;0;0;1;0;0;0;0
test-smells-spring-ide;JdtGroovyClassMetadataTest;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core.groovy.tests\src\org\springframework\ide\core\classreading\tests\JdtGroovyClassMetadataTest.java;;175;13;33;0;0;0;0;0;0;6;0;0;3;0;0;0;0;0;0;0;0;0;0
test-smells-spring-ide;AllBeansCoreGroovyTests;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core.groovy.tests\src\org\springframework\ide\eclipse\beans\core\groovy\tests\AllBeansCoreGroovyTests.java;;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-ide;GroovyResourceChangeEventHandlerTest;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core.groovy.tests\src\org\springframework\ide\eclipse\beans\core\internal\model\resources\tests\GroovyResourceChangeEventHandlerTest.java;;138;10;6;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0
test-smells-spring-ide;BeansGroovyConfigDescriptionWriterTest;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core.groovy.tests\src\org\springframework\ide\eclipse\beans\core\model\tests\BeansGroovyConfigDescriptionWriterTest.java;;116;8;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
test-smells-spring-ide;BeansGroovyConfigFactoryTest;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core.groovy.tests\src\org\springframework\ide\eclipse\beans\core\model\tests\BeansGroovyConfigFactoryTest.java;;136;14;6;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
test-smells-spring-ide;BeansGroovyConfigTest;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core.groovy.tests\src\org\springframework\ide\eclipse\beans\core\model\tests\BeansGroovyConfigTest.java;;164;12;13;0;0;0;0;0;0;5;0;0;2;0;0;0;0;0;0;0;0;0;0
test-smells-spring-ide;BeansGroovyProjectTest;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core.groovy.tests\src\org\springframework\ide\eclipse\beans\core\model\tests\BeansGroovyProjectTest.java;;452;29;28;0;0;0;0;0;0;24;0;0;4;0;0;0;0;0;2;0;0;0;0
test-smells-spring-ide;BeansJavaGroovyConfigTest;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core.groovy.tests\src\org\springframework\ide\eclipse\beans\core\model\tests\BeansJavaGroovyConfigTest.java;;193;12;23;0;0;0;0;0;0;5;0;0;3;0;0;1;0;0;0;0;0;0;0
test-smells-spring-ide;BeansJavaGroovyConfigRenameTypeRefactoringParticipantTest;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core.groovy.tests\src\org\springframework\ide\eclipse\beans\ui\refactoring\tests\BeansJavaGroovyConfigRenameTypeRefactoringParticipantTest.java;;193;13;6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-spring-ide;JdtAnnotationMetadataTest;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core.tests\src\org\springframework\ide\core\classreading\tests\JdtAnnotationMetadataTest.java;;555;23;189;0;0;0;0;0;0;77;0;0;3;0;0;6;0;0;2;0;0;0;0
test-smells-spring-ide;JdtBasedAnnotationMetadataTest;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core.tests\src\org\springframework\ide\core\classreading\tests\JdtBasedAnnotationMetadataTest.java;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.core\src\org\springframework\ide\eclipse\core\java\annotation\JdtBasedAnnotationMetadata.java;356;21;56;7;0;0;0;0;0;29;0;0;2;0;0;2;0;0;1;0;0;0;4
test-smells-spring-ide;JdtClassMetadataTest;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core.tests\src\org\springframework\ide\core\classreading\tests\JdtClassMetadataTest.java;;164;13;31;0;0;0;0;0;0;6;0;0;3;0;0;0;0;0;0;0;0;0;0
test-smells-spring-ide;AutowireDependencyProviderTest;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core.tests\src\org\springframework\ide\eclipse\beans\core\autowire\AutowireDependencyProviderTest.java;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core.autowire\src\org\springframework\ide\eclipse\beans\core\autowire\internal\provider\AutowireDependencyProvider.java;727;38;89;31;0;0;0;0;0;58;21;0;3;0;0;1;0;0;0;0;0;0;3
test-smells-spring-ide;CommonAnnotationInjectionMetadataProviderTests;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core.tests\src\org\springframework\ide\eclipse\beans\core\autowire\CommonAnnotationInjectionMetadataProviderTests.java;;199;10;20;0;0;0;0;0;0;9;5;0;2;0;0;1;0;0;3;0;0;0;0
test-smells-spring-ide;ResourceChangeEventHandlerTest;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core.tests\src\org\springframework\ide\eclipse\beans\core\internal\model\resources\tests\ResourceChangeEventHandlerTest.java;;129;10;6;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0
test-smells-spring-ide;BeanClassRuleTest;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core.tests\src\org\springframework\ide\eclipse\beans\core\internal\model\validation\rules\BeanClassRuleTest.java;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core\src\org\springframework\ide\eclipse\beans\core\internal\model\validation\rules\BeanClassRule.java;147;9;9;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-ide;BeanConstructorArgumentRulesAutowireTest;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core.tests\src\org\springframework\ide\eclipse\beans\core\internal\model\validation\rules\BeanConstructorArgumentRulesAutowireTest.java;;193;13;8;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-ide;BeanConstructorArgumentRuleTest;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core.tests\src\org\springframework\ide\eclipse\beans\core\internal\model\validation\rules\BeanConstructorArgumentRuleTest.java;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core\src\org\springframework\ide\eclipse\beans\core\internal\model\validation\rules\BeanConstructorArgumentRule.java;127;8;4;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-ide;BeanInitDestroyMethodRuleTest;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core.tests\src\org\springframework\ide\eclipse\beans\core\internal\model\validation\rules\BeanInitDestroyMethodRuleTest.java;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core\src\org\springframework\ide\eclipse\beans\core\internal\model\validation\rules\BeanInitDestroyMethodRule.java;119;7;4;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-ide;BeanPropertyRuleTest;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core.tests\src\org\springframework\ide\eclipse\beans\core\internal\model\validation\rules\BeanPropertyRuleTest.java;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core\src\org\springframework\ide\eclipse\beans\core\internal\model\validation\rules\BeanPropertyRule.java;93;6;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-ide;BeanReferenceRuleTest;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core.tests\src\org\springframework\ide\eclipse\beans\core\internal\model\validation\rules\BeanReferenceRuleTest.java;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core\src\org\springframework\ide\eclipse\beans\core\internal\model\validation\rules\BeanReferenceRule.java;157;14;12;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-ide;BeanReferenceRuleWithConfigSetAndProfileTest;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core.tests\src\org\springframework\ide\eclipse\beans\core\internal\model\validation\rules\BeanReferenceRuleWithConfigSetAndProfileTest.java;;173;14;12;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-ide;BeanReferenceRuleWithConfigSetTest;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core.tests\src\org\springframework\ide\eclipse\beans\core\internal\model\validation\rules\BeanReferenceRuleWithConfigSetTest.java;;142;11;8;0;0;0;0;0;0;7;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-spring-ide;NamespaceElementsRuleTest;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core.tests\src\org\springframework\ide\eclipse\beans\core\internal\model\validation\rules\NamespaceElementsRuleTest.java;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core\src\org\springframework\ide\eclipse\beans\core\internal\model\validation\rules\NamespaceElementsRule.java;91;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-ide;RequiredPropertyRuleTest;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core.tests\src\org\springframework\ide\eclipse\beans\core\internal\model\validation\rules\RequiredPropertyRuleTest.java;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core\src\org\springframework\ide\eclipse\beans\core\internal\model\validation\rules\RequiredPropertyRule.java;93;5;1;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spring-ide;BeansConfigFactoryTest;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core.tests\src\org\springframework\ide\eclipse\beans\core\model\tests\BeansConfigFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core\src\org\springframework\ide\eclipse\beans\core\internal\model\BeansConfigFactory.java;127;14;6;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2
test-smells-spring-ide;BeansConfigTest;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core.tests\src\org\springframework\ide\eclipse\beans\core\model\tests\BeansConfigTest.java;C:\Users\crist\.jnose_projects\test-smells-spring-ide\plugins\org.springframework.ide.eclipse.beans.core\src\org\springframework\ide\eclipse\beans\core\internal\model\BeansConfig.java;155;12;13;1;0;0;0;0;0;5;0;0;2;0;0;0;0;0;0;0;0;0;1
