App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-chemistry-opencmis;SessionFactoryFinderTest;C:\Users\crist\.jnose_projects\test-smells-chemistry-opencmis\chemistry-opencmis-client\chemistry-opencmis-client-api\src\test\java\org\apache\chemistry\opencmis\client\SessionFactoryFinderTest.java;C:\Users\crist\.jnose_projects\test-smells-chemistry-opencmis\chemistry-opencmis-client\chemistry-opencmis-client-api\src\main\java\org\apache\chemistry\opencmis\client\SessionFactoryFinder.java;29;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-chemistry-opencmis;SessionParameterMapTest;C:\Users\crist\.jnose_projects\test-smells-chemistry-opencmis\chemistry-opencmis-client\chemistry-opencmis-client-api\src\test\java\org\apache\chemistry\opencmis\client\SessionParameterMapTest.java;C:\Users\crist\.jnose_projects\test-smells-chemistry-opencmis\chemistry-opencmis-client\chemistry-opencmis-client-api\src\main\java\org\apache\chemistry\opencmis\client\SessionParameterMap.java;265;3;57;1;1;0;0;0;0;0;2;0;0;0;0;1;0;1;7;1;0;0;0
test-smells-chemistry-opencmis;AtomPubService;C:\Users\crist\.jnose_projects\test-smells-chemistry-opencmis\chemistry-opencmis-client\chemistry-opencmis-client-bindings\src\test\java\org\apache\chemistry\opencmis\client\bindings\atompub\AclMergeTest.java;;142;2;13;0;0;0;0;0;0;4;5;0;0;0;0;1;0;0;2;0;0;0;0
test-smells-chemistry-opencmis;AtomParserTest;C:\Users\crist\.jnose_projects\test-smells-chemistry-opencmis\chemistry-opencmis-client\chemistry-opencmis-client-bindings\src\test\java\org\apache\chemistry\opencmis\client\bindings\atompub\AtomParserTest.java;;143;4;8;0;0;0;0;0;0;1;3;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-chemistry-opencmis;CacheTest;C:\Users\crist\.jnose_projects\test-smells-chemistry-opencmis\chemistry-opencmis-client\chemistry-opencmis-client-bindings\src\test\java\org\apache\chemistry\opencmis\client\bindings\cache\CacheTest.java;C:\Users\crist\.jnose_projects\test-smells-chemistry-opencmis\chemistry-opencmis-client\chemistry-opencmis-client-impl\src\main\java\org\apache\chemistry\opencmis\client\runtime\cache\Cache.java;209;9;20;0;0;0;0;0;0;0;5;0;0;0;0;2;0;0;3;6;0;0;3
test-smells-chemistry-opencmis;CookiesTest;C:\Users\crist\.jnose_projects\test-smells-chemistry-opencmis\chemistry-opencmis-client\chemistry-opencmis-client-bindings\src\test\java\org\apache\chemistry\opencmis\client\bindings\misc\CookiesTest.java;;79;3;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-chemistry-opencmis;LocalCallContextTest;C:\Users\crist\.jnose_projects\test-smells-chemistry-opencmis\chemistry-opencmis-client\chemistry-opencmis-client-bindings\src\test\java\org\apache\chemistry\opencmis\client\bindings\misc\LocalCallContextTest.java;C:\Users\crist\.jnose_projects\test-smells-chemistry-opencmis\chemistry-opencmis-client\chemistry-opencmis-client-bindings\src\main\java\org\apache\chemistry\opencmis\client\bindings\spi\local\LocalCallContext.java;63;3;18;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
test-smells-chemistry-opencmis;CacheTest;C:\Users\crist\.jnose_projects\test-smells-chemistry-opencmis\chemistry-opencmis-client\chemistry-opencmis-client-impl\src\test\java\org\apache\chemistry\opencmis\client\runtime\CacheTest.java;C:\Users\crist\.jnose_projects\test-smells-chemistry-opencmis\chemistry-opencmis-client\chemistry-opencmis-client-impl\src\main\java\org\apache\chemistry\opencmis\client\runtime\cache\Cache.java;212;9;14;1;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;4
test-smells-chemistry-opencmis;ContentStreamUtilsTest;C:\Users\crist\.jnose_projects\test-smells-chemistry-opencmis\chemistry-opencmis-client\chemistry-opencmis-client-impl\src\test\java\org\apache\chemistry\opencmis\client\runtime\ContentStreamUtilsTest.java;C:\Users\crist\.jnose_projects\test-smells-chemistry-opencmis\chemistry-opencmis-client\chemistry-opencmis-client-impl\src\main\java\org\apache\chemistry\opencmis\client\util\ContentStreamUtils.java;175;7;35;3;1;0;0;0;0;4;1;0;0;0;0;2;0;1;0;3;0;0;2
test-smells-chemistry-opencmis;ItemIterableTest;C:\Users\crist\.jnose_projects\test-smells-chemistry-opencmis\chemistry-opencmis-client\chemistry-opencmis-client-impl\src\test\java\org\apache\chemistry\opencmis\client\runtime\ItemIterableTest.java;C:\Users\crist\.jnose_projects\test-smells-chemistry-opencmis\chemistry-opencmis-client\chemistry-opencmis-client-api\src\main\java\org\apache\chemistry\opencmis\client\api\ItemIterable.java;302;16;11;0;0;0;0;4;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-chemistry-opencmis;OperationContextTest;C:\Users\crist\.jnose_projects\test-smells-chemistry-opencmis\chemistry-opencmis-client\chemistry-opencmis-client-impl\src\test\java\org\apache\chemistry\opencmis\client\runtime\OperationContextTest.java;C:\Users\crist\.jnose_projects\test-smells-chemistry-opencmis\chemistry-opencmis-client\chemistry-opencmis-client-api\src\main\java\org\apache\chemistry\opencmis\client\api\OperationContext.java;115;3;33;1;0;0;0;0;0;7;0;0;0;0;0;1;0;0;2;1;0;0;0
